operator,variant,N,selectivity_target,selectivity_achieved,groups_G,skew,run_id,kernel_ms,h2d_ms,d2h_ms,end2end_ms,rows_per_s,eff_GBps,correct
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.10001,8,uniform,3,2.47229,0,0.004582,2.9548,4.04483e+09,64.7173,1
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,4,0.775833,0.003385,0.003125,1.1648,1.28894e+10,51.5575,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,4,1.86781,0.003541,0.003281,2.5169,5.35386e+09,66.3881,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,4,2.18187,0,0.01052,2.8626,4.58321e+09,55.1418,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.10001,8,uniform,4,2.38047,0,0.004791,2.928,4.20085e+09,67.2137,1
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,5,0.863802,0.003072,0.00302,1.5362,1.15767e+10,46.3069,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,5,1.86208,0.003229,0.002916,2.4686,5.37033e+09,66.5923,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,5,2.1576,0,0.010677,2.7941,4.63477e+09,55.7621,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.10001,8,uniform,5,2.54953,0,0.004374,3.0407,3.92229e+09,62.7567,1
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,6,0.768489,0.003125,0.002447,1.2372,1.30125e+10,52.0502,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,6,1.92745,0.005156,0.003541,2.5899,5.18821e+09,64.334,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,6,2.11208,0,0.01177,2.726,4.73466e+09,56.9639,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.10001,8,uniform,6,2.38531,0,0.004322,2.8415,4.19232e+09,67.0772,1
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,7,0.791041,0.00302,0.002916,1.2081,1.26416e+10,50.5663,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,7,1.97062,0.00427,0.003229,2.7087,5.07453e+09,62.9244,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,7,2.09052,0,0.012239,2.8389,4.7835e+09,57.5515,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.10001,8,uniform,7,2.5513,0,0.005208,3.594,3.91957e+09,62.7131,1
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,8,0.847812,0.00401,0.002395,1.2771,1.17951e+10,47.1803,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,8,1.97047,0.003645,0.002916,2.4467,5.07494e+09,62.9294,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,8,2.14739,0,0.012083,2.8578,4.65681e+09,56.0272,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.10001,8,uniform,8,2.38016,0,0.00427,2.8714,4.20141e+09,67.2225,1
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,9,0.789843,0.003333,0.003229,1.6159,1.26607e+10,50.643,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,9,1.95005,0.003489,0.00302,2.4745,5.12807e+09,63.5883,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,9,2.18562,0,0.010677,2.9759,4.57535e+09,55.0472,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.10001,8,uniform,9,2.44318,0,0.007291,2.9359,4.09303e+09,65.4885,1
scan_filter_count,base,10000000,0.25,0.250084,0,uniform,100000,0.79,0.003489,0.002552,1.1805,1.26582e+10,50.6329,1
projection_expr_compact,base,10000000,0.25,0.250084,0,uniform,100000,2.31656,0.004166,0.002968,2.791,4.31674e+09,56.1191,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.25,0.250084,0,uniform,100000,2.17068,0,0.011822,3.0206,4.60686e+09,55.4263,1
groupby_sum_count,fixedpoint_atomics,10000000,0.25,0.250084,8,uniform,100000,3.09823,0,0.005156,3.7301,3.22765e+09,51.6424,1
scan_filter_count,base,10000000,0.25,0.250084,0,uniform,0,0.90776,0.003958,0.002656,1.3098,1.10161e+10,44.0645,1
projection_expr_compact,base,10000000,0.25,0.250084,0,uniform,0,2.32583,0.004062,0.002812,2.9508,4.29953e+09,55.8954,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.25,0.250084,0,uniform,0,2.205,0,0.011875,3.0434,4.53515e+09,54.5635,1
groupby_sum_count,fixedpoint_atomics,10000000,0.25,0.250084,8,uniform,0,3.47646,0,0.004687,4.0071,2.87649e+09,46.0239,1
scan_filter_count,base,10000000,0.25,0.250084,0,uniform,1,0.783854,0.004322,0.0025,1.1811,1.27575e+10,51.0299,1
projection_expr_compact,base,10000000,0.25,0.250084,0,uniform,1,2.3587,0.003593,0.003125,2.8759,4.23963e+09,55.1166,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.25,0.250084,0,uniform,1,2.31614,0,0.016354,2.979,4.31752e+09,51.9452,1
groupby_sum_count,fixedpoint_atomics,10000000,0.25,0.250084,8,uniform,1,3.37047,0,0.004843,3.8929,2.96695e+09,47.4712,1
scan_filter_count,base,10000000,0.25,0.250084,0,uniform,2,0.88552,0.004322,0.002708,1.3625,1.12928e+10,45.1712,1
