operator,variant,N,selectivity_target,selectivity_achieved,groups_G,skew,run_id,kernel_ms,h2d_ms,d2h_ms,end2end_ms,rows_per_s,eff_GBps,correct
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,4,2.05552,0.004114,0.004479,2.7173,4.86495e+09,60.3256,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,4,2.12245,0,0.012916,2.824,4.71154e+09,56.6858,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.0125095,8,uniform,4,2.37516,0,0.007291,3.1655,4.21025e+09,67.364,0
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,5,0.856354,0.004375,0.004427,1.5591,1.16774e+10,46.7097,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,5,1.9538,0.00375,0.003437,2.5071,5.11823e+09,63.4662,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,5,2.37172,0,0.01177,2.9412,4.21635e+09,50.728,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.0125095,8,uniform,5,2.38641,0,0.007187,3.1105,4.1904e+09,67.0465,0
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,6,0.820104,0.004843,0.002864,1.2283,1.21936e+10,48.7743,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,6,1.86224,0.004166,0.004166,2.5464,5.36988e+09,66.5867,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,6,2.1188,0,0.010781,2.8535,4.71965e+09,56.7833,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.0125095,8,uniform,6,2.37682,0,0.005728,2.9194,4.2073e+09,67.3168,0
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,7,0.833802,0.00401,0.003281,1.2307,1.19933e+10,47.973,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,7,1.95104,0.003958,0.003541,2.472,5.12547e+09,63.556,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,7,2.09724,0,0.012864,2.791,4.76817e+09,57.3671,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.0125095,8,uniform,7,2.45234,0,0.006666,3.1563,4.07773e+09,65.2438,0
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,8,0.835572,0.003958,0.003541,1.2315,1.19678e+10,47.8714,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,8,1.94255,0.005885,0.003697,2.4282,5.14787e+09,63.8338,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,8,2.09594,0,0.01125,2.8041,4.77114e+09,57.4027,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.0125095,8,uniform,8,2.43396,0,0.004999,2.8872,4.10853e+09,65.7366,0
scan_filter_count,base,10000000,0.1,0.10001,0,uniform,9,0.834114,0.003645,0.00302,1.3264,1.19888e+10,47.9551,1
projection_expr_compact,base,10000000,0.1,0.10001,0,uniform,9,1.89078,0.00375,0.003489,2.4296,5.28882e+09,65.5816,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.1,0.10001,0,uniform,9,2.14042,0,0.013437,3.0188,4.67199e+09,56.2099,1
groupby_sum_count,fixedpoint_atomics,10000000,0.1,0.0125095,8,uniform,9,2.45953,0,0.006926,3.1865,4.06582e+09,65.0531,0
scan_filter_count,base,10000000,0.25,0.250084,0,uniform,100000,0.827916,0.00375,0.003645,1.2142,1.20785e+10,48.3141,1
projection_expr_compact,base,10000000,0.25,0.250084,0,uniform,100000,2.4013,0.004322,0.003906,2.9053,4.16441e+09,54.1387,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.25,0.250084,0,uniform,100000,2.3087,0,0.012031,2.9862,4.33145e+09,52.1127,1
groupby_sum_count,fixedpoint_atomics,10000000,0.25,0.0311476,8,uniform,100000,3.03266,0,0.005728,3.5312,3.29744e+09,52.7591,0
scan_filter_count,base,10000000,0.25,0.250084,0,uniform,0,0.90375,0.003906,0.004166,1.5547,1.1065e+10,44.26,1
projection_expr_compact,base,10000000,0.25,0.250084,0,uniform,0,2.25109,0.003541,0.003593,2.74,4.44229e+09,57.7512,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.25,0.250084,0,uniform,0,2.21088,0,0.01302,2.8755,4.52308e+09,54.4183,1
groupby_sum_count,fixedpoint_atomics,10000000,0.25,0.0311476,8,uniform,0,2.9787,0,0.006979,3.6016,3.35717e+09,53.7148,0
scan_filter_count,base,10000000,0.25,0.250084,0,uniform,1,0.815312,0.003645,0.00302,1.4112,1.22652e+10,49.061,1
projection_expr_compact,base,10000000,0.25,0.250084,0,uniform,1,2.24375,0.003906,0.003593,2.693,4.45682e+09,57.9402,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.25,0.250084,0,uniform,1,2.22016,0,0.0125,2.7966,4.50419e+09,54.191,1
groupby_sum_count,fixedpoint_atomics,10000000,0.25,0.0311476,8,uniform,1,3.06917,0,0.005989,3.5068,3.25821e+09,52.1314,0
